Date,Company_Sales,Region 1_Sales,Region 2_Sales,Region 3_Sales,Region 4_Sales
2019-06-01,16981724.680001833,6321539.840830392,4636834.416562031,3897578.8227816853,2164068.675607966
2019-06-02,17191335.907451723,6341855.459546221,4728658.593274767,3970597.386844242,2205943.3881666516
2019-06-03,14843945.561832333,5554119.588975376,4050128.146976906,3344610.3282222804,1879649.116889062
2019-06-04,14476384.871698849,5430055.437270192,3958253.4393061763,3221139.9285673103,1822442.5479220317
2019-06-05,15755166.276703706,5769022.777777702,4304182.545135637,3496382.29798778,1969538.7625057157
2019-06-06,17873220.76678915,6503061.217280977,4936709.731446796,4122349.6363526788,2257585.5683394684
2019-06-07,18329883.82588136,6676849.56880973,5051263.385583387,4236336.9367950875,2299871.6733925776
2019-06-08,20502713.242257137,7375312.802868686,5650864.621569747,4784236.786230338,2585399.7365483586
2019-06-09,19811515.63431601,7155420.286084174,5393624.4463704955,4706023.400082742,2481065.427592066
2019-06-10,16488562.10382624,5902627.88767492,4741722.971598761,3628570.501030465,2041872.3145665245
2019-06-11,15949713.450608928,5785464.699337935,4624775.780005423,3461158.2101873183,1942804.7456557036
2019-06-12,15847114.449451808,5698605.474603956,4597313.857537379,3485092.0071397773,1958256.6021422392
2019-06-13,15405947.384721573,5477409.694743009,4503246.070823651,3384667.0482326346,1947426.7198210408
2019-06-14,15883300.878332745,5681698.968048815,4550731.277149936,3518664.2824529763,2030048.105662925
2019-06-15,17291578.803163044,6267549.4824881395,4784457.423326106,3897940.88574916,2242345.172740574
2019-06-16,19118002.649437256,6865466.316225007,5151554.987682331,4600874.037269594,2477074.2369224075
2019-06-17,16902078.50967106,6023401.1040069675,4584794.023805936,4082330.831859633,2173335.2249168465
2019-06-18,17420637.040537473,6191847.6128370315,4742321.125627435,4219900.275926701,2249196.116082515
2019-06-19,17316645.33625427,6064781.147323931,4750959.2203340605,4211453.789288475,2245590.033463319
2019-06-20,17421972.447293032,6098461.713326847,4761849.494873191,4273216.646773418,2230320.309574877
2019-06-21,16191987.109780015,5661820.157285639,4558869.33307571,3783018.3387585594,2063968.77133034
2019-06-22,19625796.843936153,6868835.645560124,5600685.318445307,4478594.040967552,2528392.932443944
2019-06-23,20019020.391546864,7051067.5451291725,5763631.5885926755,4586863.908623128,2560194.262430449
2019-06-24,17746861.32646278,6190550.818053707,5160962.065214504,4086785.276626788,2256130.703391439
2019-06-25,17250843.61584087,5959548.1288561905,5021337.360112812,3947759.8018473666,2244993.3752393425
2019-06-26,17568919.128435228,6165673.277025994,4987401.567199808,3977624.0031539667,2296540.4710979345
2019-06-27,16402903.568181293,5823386.467795204,4534025.381219727,3727114.778560267,2135259.042154034
2019-06-28,17843104.162409328,6311488.923753509,4739463.037977578,4307668.843507537,2306145.5832310873
2019-06-29,20457496.775752123,7293358.481342534,5444634.357857512,4925090.794852811,2661067.974063631
2019-06-30,21844053.264936797,7767050.763453377,5879448.9980382845,5344166.76394088,2843863.3480357598
2019-07-01,19242795.16958328,6708264.458098075,5232001.486643445,4775355.008058309,2518155.3591316096
2019-07-02,19083612.833000682,6664352.166199125,5159149.339325361,4775313.115962503,2468751.4419359434
2019-07-03,18433359.943826206,6391436.140277865,5215229.203383306,4289072.052085178,2379719.1287862314
2019-07-04,16938115.7134121,5878179.6087673735,4851178.962148051,3698023.261101789,2137032.1725196955
2019-07-05,17902318.844270524,6318311.086609293,5085586.585581918,4054705.0814055363,2228864.642108299
2019-07-06,20316183.407382496,7195124.170540308,5738245.676612172,4653243.518838933,2551519.8179017697
2019-07-07,19958885.267789174,7156942.682278866,5499064.863058305,4657574.891496299,2564309.5312760044
2019-07-08,18160849.934016474,6439466.8976544095,5045783.556733242,4182590.0532255406,2338975.0085334065
2019-07-09,19219023.791312672,6764566.209763801,5225435.377905538,4558768.46082877,2469393.762411981
2019-07-10,18917137.580552265,6654897.705832913,5147692.099054513,4430800.303952551,2408965.192513378
2019-07-11,19031949.510784566,6733458.628594557,5235327.603778316,4390861.543967031,2392440.1265269667
