Date,Holiday,Discounted Stores,Orders,Sales
2018-01-01,1,1.0,19666,15345484.5
2018-01-02,0,1.0,25326,19592415.0
2018-01-03,0,1.0,24047,18652527.0
2018-01-04,0,0.9972602739726028,25584,19956267.0
2018-01-05,0,0.9972602739726028,28436,22902651.0
2018-01-06,0,0.0,21956,16351956.0
2018-01-07,0,0.0,25305,18219249.0
2018-01-08,0,0.0,21876,15641283.0
2018-01-09,0,0.0,19988,14197074.0
2018-01-10,0,0.0,20777,14712108.0
2018-01-11,0,0.0027397260273972603,23093,16565787.0
2018-01-12,0,0.0027397260273972603,20097,14737770.0
2018-01-13,0,0.9917808219178083,27656,20857848.0
2018-01-14,1,0.9917808219178083,26891,20252261.37
2018-01-15,0,1.0,25001,18966564.0
2018-01-16,0,0.9972602739726028,26092,16488294.0
2018-01-17,0,0.9972602739726028,28793,18685467.0
2018-01-18,0,0.00821917808219178,19612,11687088.0
2018-01-19,0,0.00821917808219178,22583,13250172.0
2018-01-20,0,0.0,25668,15118365.0
2018-01-21,0,0.0,25109,14902944.0
2018-01-22,1,0.0,20812,14450475.96
2018-01-23,0,0.0027397260273972603,23396,13687812.0
2018-01-24,0,0.0027397260273972603,18957,11282559.0
2018-01-25,0,0.9917808219178083,24421,15071184.0
2018-01-26,1,0.9917808219178083,14161,8544637.14
2018-01-27,0,0.9917808219178083,28284,17676906.0
2018-01-28,0,0.989041095890411,35710,24070617.0
2018-01-29,0,0.9972602739726028,30748,20720280.0
2018-01-30,0,0.00821917808219178,20114,12217641.0
2018-01-31,1,0.00821917808219178,19538,11860150.89
2018-02-01,0,0.00821917808219178,20829,12023721.0
2018-02-02,0,0.00821917808219178,20595,11912538.0
2018-02-03,0,0.0,24148,14075436.0
2018-02-04,0,0.0027397260273972603,24700,14510955.0
2018-02-05,0,0.0027397260273972603,20036,11967330.0
2018-02-06,0,0.9917808219178083,25158,15577728.0
2018-02-07,0,0.9917808219178083,24021,14887227.0
2018-02-08,0,0.9917808219178083,24910,15529065.0
2018-02-09,0,0.989041095890411,26987,17135181.0
2018-02-10,1,0.989041095890411,30585,16592092.95
2018-02-11,0,0.0,23579,14302785.0
2018-02-12,0,0.00821917808219178,21367,12433194.0
2018-02-13,0,0.00821917808219178,21472,12412914.0
2018-02-14,1,0.00821917808219178,20850,12049936.92
2018-02-15,0,0.010958904109589041,22055,12937917.0
2018-02-16,0,0.010958904109589041,23224,13640055.0
2018-02-17,0,0.0027397260273972603,23839,14310783.0
2018-02-18,0,0.9917808219178083,33617,21181416.0
2018-02-19,1,0.9917808219178083,27864,20532469.26
2018-02-20,0,0.989041095890411,26748,16960068.0
2018-02-21,0,0.989041095890411,29647,19226871.0
2018-02-22,0,0.21643835616438356,24721,15454293.0
2018-02-23,0,0.0,23599,14341791.0
2018-02-24,0,0.0,26689,15972708.0
2018-02-25,0,0.0,25784,15303216.0
2018-02-26,0,0.010958904109589041,23854,14068716.0
2018-02-27,0,0.010958904109589041,23038,13704948.0
2018-02-28,0,0.7835616438356164,23862,14543655.0
2018-03-01,1,1.0,23176,14120634.24
2018-03-02,1,1.0,3411,2165458.29
2018-03-03,0,0.989041095890411,29292,18448566.0
2018-03-04,0,0.9917808219178083,33357,21236433.0
2018-03-05,0,0.2191780821917808,23496,14281224.0
2018-03-06,0,0.0027397260273972603,24684,14814756.0
2018-03-07,0,0.0027397260273972603,26212,15357597.0
2018-03-08,0,0.0,22638,13065249.0
2018-03-09,0,0.0027397260273972603,22238,12737448.0
2018-03-10,0,0.0027397260273972603,27369,16360278.0
2018-03-11,0,0.7753424657534247,28713,17570853.0
